parsed_date,Narration,amount,type,fee_type,category
2016-03-05,NEFT CHGS INCL ST & CESS 290216,2.86,withdrawal,other,Expense (Other)
2016-03-05,NEFTCHGSINCLST&CESS290216,2.86,withdrawal,other,Expense (Other)
2016-03-06,POS 532676XXXXXX3201 R. LAW SERVICE S PO,150.0,withdrawal,maintenance,Expense (Shopping)
2016-03-06,POS532676XXXXXX3201R.LAWSERVICESPO,150.0,withdrawal,maintenance,Expense (Shopping)
2016-03-09,FUEL SURCHG ******3201 DT 0000000000220343 09/03/16,11.45,withdrawal,other,Expense (Transportation)
2016-03-09,FUELSURCHG532676****** 0000000000220343 09/03/16,11.45,withdrawal,other,Expense (Transportation)
2016-03-14,NEFTCHGSINCLST&CESS090316,8.59,withdrawal,other,Expense (Other)
2016-03-14,NEFT CHGS INCL ST & CESS 090316,8.59,withdrawal,other,Expense (Other)
2016-03-21,NEFTCHGSINCLST&CESS190316,2.86,withdrawal,other,Expense (Other)
2016-03-21,NEFT CHGS INCL ST & CESS 190316,2.86,withdrawal,other,Expense (Other)
2016-04-01,POS532676XXXXXX3201BYPASSSERVICESPO,200.0,withdrawal,maintenance,Expense (Shopping)
2016-04-01,POS 532676XXXXXX3201 BY PASS SERVICES PO,200.0,withdrawal,maintenance,Expense (Shopping)
2016-04-04,FUEL SURCHG ******3201 DT 0000000000462889 04/04/16,11.45,withdrawal,other,Expense (Transportation)
2016-04-04,FUELSURCHG532676****** 0000000000462889 04/04/16,11.45,withdrawal,other,Expense (Transportation)
2016-04-09,NEFTCHGSINCLST&CESS040416,2.86,withdrawal,other,Expense (Other)
2016-04-09,NEFT CHGS INCL ST & CESS 040416,2.86,withdrawal,other,Expense (Other)
2016-04-11,NEFT CHGS INCL ST & CESS 070416,2.86,withdrawal,other,Expense (Other)
2016-04-11,NEFTCHGSINCLST&CESS070416,2.86,withdrawal,other,Expense (Other)
2016-04-16,#0416 000000000000000 16/04/16,5.73,withdrawal,other,Expense (Other)
2016-04-16,IMPS P2P 573 610012155231#09/04/ 120416,5.73,withdrawal,other,Expense (Other)
2016-04-22,NEFTCHGSINCLST&CESS180416,2.86,withdrawal,other,Expense (Other)
2016-04-22,3RDPARTYCASHTXNINCST&EC180416,114.5,withdrawal,other,Savings/Investment
2016-04-22,NEFT CHGS INCL ST & CESS 180416,2.86,withdrawal,other,Expense (Other)
2016-04-22,3RD PARTY CASH TXN INC ST & EC 180416,114.5,withdrawal,other,Savings/Investment
2016-04-22,3RD PARTY CASH TXN INC ST & EC 200416,114.5,withdrawal,other,Savings/Investment
2016-04-22,3RDPARTYCASHTXNINCST&EC200416,114.5,withdrawal,other,Savings/Investment
2016-04-26,IMPS P2P 573 611016132371#19/04/ 200416,5.73,withdrawal,other,Expense (Other)
2016-04-26,#0416 000000000000000 26/04/16,5.73,withdrawal,other,Expense (Other)
2016-05-09,NEFTCHGSINCLST&CESS020516,2.86,withdrawal,other,Expense (Other)
2016-05-09,NEFT CHGS INCL ST & CESS 020516,2.86,withdrawal,other,Expense (Other)
2016-05-16,3RDPARTYCASHTXNINCST&EC130516,114.5,withdrawal,other,Savings/Investment
2016-05-16,3RD PARTY CASH TXN INC ST & EC 130516,114.5,withdrawal,other,Savings/Investment
2016-05-24,NEFTCHGSINCLST&CESS190516,8.59,withdrawal,other,Expense (Other)
2016-05-24,NEFT CHGS INCL ST & CESS 190516,8.59,withdrawal,other,Expense (Other)
2016-05-27,05301050053402 -TPT-FT,100.0,withdrawal,other,Expense (Other)
2016-05-27,05301050053402 -TPT-FT,100.0,withdrawal,other,Expense (Other)
2016-05-29,100358168826909/CITRUSAIRTEL,50.0,withdrawal,other,Expense (Utilities)
2016-05-29,100358168826909/CITRUSAIRTEL,50.0,withdrawal,other,Expense (Utilities)
2016-06-03,POS532676XXXXXX3201TRIOSERVICESPOSD,200.0,withdrawal,maintenance,Expense (Shopping)
2016-06-03,POS 532676XXXXXX3201 TRIO SERVICES POS D,200.0,withdrawal,maintenance,Expense (Shopping)
2016-06-04,FUEL SURCHG 532676XXXXXX3201 49003475,11.5,withdrawal,other,Expense (Transportation)
2016-06-04,FUELSURCHG532676XXXXXX3201 49003475,11.5,withdrawal,other,Expense (Transportation)
2016-06-07,NEFT DR-CORP0000052-RAJ CORPORATION BANK,100.0,withdrawal,other,Expense (Other)
2016-06-07,NEFTDR-CORP0000052-RAJCORPORATIONBANK,100.0,withdrawal,other,Expense (Other)
2016-06-10,POS 532676XXXXXX3201 TRIO SERVICES POS D Page No .: 5,200.0,withdrawal,maintenance,Expense (Shopping)
2016-06-10,POS532676XXXXXX3201TRIOSERVICESPOSD,200.0,withdrawal,maintenance,Expense (Shopping)
2016-06-11,FUEL SURCHG 532676XXXXXX3201 49003475,11.5,withdrawal,other,Expense (Transportation)
2016-06-11,FUELSURCHG532676XXXXXX3201 49003475,11.5,withdrawal,other,Expense (Transportation)
2016-06-14,NEFT CHGS INCL ST & CESS 070616,8.63,withdrawal,other,Expense (Other)
2016-06-14,NEFTCHGSINCLST&CESS070616,8.63,withdrawal,other,Expense (Other)
2016-06-18,NEFTCHGSINCLST&CESS100616,5.75,withdrawal,other,Expense (Other)
2016-06-18,NEFT CHGS INCL ST & CESS 100616,5.75,withdrawal,other,Expense (Other)
2016-06-20,NEFTCHGSINCLST&CESS150616,2.88,withdrawal,other,Expense (Other)
2016-06-20,NEFT CHGS INCL ST & CESS 150616,2.88,withdrawal,other,Expense (Other)
2016-07-19,NEFT CHGS INCL ST & CESS 120716,2.88,withdrawal,other,Expense (Other)
2016-07-19,NEFTCHGSINCLST&CESS120716,2.88,withdrawal,other,Expense (Other)
2016-07-21,IMPS P2P 575 619122311541#09/07/ 130716,5.75,withdrawal,other,Expense (Other)
2016-07-21,#0716 0000000000000001 21/07/16,5.75,withdrawal,other,Expense (Other)
2016-07-25,NEFTCHGSINCLST&CESS190716,2.88,withdrawal,other,Expense (Other)
2016-07-25,NEFT CHGS INCL ST & CESS 190716,2.88,withdrawal,other,Expense (Other)
2016-07-26,POS 532676XXXXXX3201 BY PASS SERVICES PO,200.0,withdrawal,maintenance,Expense (Shopping)
2016-07-26,POS532676XXXXXX3201BYPASSSERVICESPO,200.0,withdrawal,maintenance,Expense (Shopping)
2016-07-28,FUELSURCHG532676****** 0000000000250911 28/07/16,11.5,withdrawal,other,Expense (Transportation)
2016-07-28,FUEL SURCHG ******3201 DT 0000000000250911 28/07/16,11.5,withdrawal,other,Expense (Transportation)
2016-07-30,IMPS P2P 575 620611375597#24/07/ 250716,5.75,withdrawal,other,Expense (Other)
2016-07-30,IMPS P2P 575 620611378331#24/07/ 250716,5.75,withdrawal,other,Expense (Other)
2016-07-30,#0716 0000000000000008 30/07/16,5.75,withdrawal,other,Expense (Other)
2016-07-30,#0716 0000000000000001 30/07/16,5.75,withdrawal,other,Expense (Other)
2016-07-30,#0716 0000000000000007 30/07/16,5.75,withdrawal,other,Expense (Other)
2016-07-30,IMPS P2P 575 620712134398#25/07/ 260716,5.75,withdrawal,other,Expense (Other)
2016-08-04,AIRTELMOBILEWB-HDFC146778145-BILLPAYO,100.0,withdrawal,other,Expense (Utilities)
2016-08-04,AIRTEL MOBILE WB-HDFC146778145-BILLPAY O,100.0,withdrawal,other,Expense (Utilities)
2016-08-16,NEFT CHGS INCL ST & CESS 090816,5.75,withdrawal,other,Expense (Other)
2016-08-16,NEFTCHGSINCLST&CESS110816,2.88,withdrawal,other,Expense (Other)
2016-08-16,NEFTCHGSINCLST&CESS090816,5.75,withdrawal,other,Expense (Other)
2016-08-16,NEFT CHGS INCL ST & CESS 110816,2.88,withdrawal,other,Expense (Other)
2016-08-19,NEFTCHGSINCLST&CESS170816,2.88,withdrawal,other,Expense (Other)
2016-08-19,NEFT CHGS INCL ST & CESS 170816,2.88,withdrawal,other,Expense (Other)
2016-09-12,50100027640512 -TPT-FORLOAN,1.0,withdrawal,other,Expense (Debt Payment)
2016-09-12,NEFT CHGS INCL ST & CESS 080916 Page No .: 8,5.76,withdrawal,other,Expense (Other)
2016-09-12,NEFT CHGS INCL ST & CESS 090916,5.75,withdrawal,other,Expense (Other)
2016-09-12,50100027640512 -TPT-FOR LOAN,1.0,withdrawal,other,Expense (Debt Payment)
2016-09-12,NEFTCHGSINCLST&CESS080916,5.76,withdrawal,other,Expense (Other)
2016-09-12,NEFTCHGSINCLST&CESS090916,5.75,withdrawal,other,Expense (Other)
2016-09-14,NEFT CHGS INCL ST & CESS 120916,2.88,withdrawal,other,Expense (Other)
2016-09-14,NEFTCHGSINCLST&CESS120916,2.88,withdrawal,other,Expense (Other)
2016-09-19,27881050000920 -TPT-PAYMENT,1.0,withdrawal,other,Expense (Other)
2016-09-19,27881050000920 -TPT-PAYMENT,1.0,withdrawal,other,Expense (Other)
2016-09-22,27881050000920 -TPT-FUND,1.0,withdrawal,other,Expense (Other)
2016-09-22,27881050000920 -TPT-FUND,1.0,withdrawal,other,Expense (Other)
2016-09-23,#0916 0000000000000007 23/09/16,5.75,withdrawal,other,Expense (Other)
2016-09-23,IMPS P2P 575 626320194837#19/09/ 200916,5.75,withdrawal,other,Expense (Other)
2016-09-26,"NEFTDR-UTBI0UPKD40-WIFFY-NETBANK,MUM-N",100.0,withdrawal,other,Expense (Other)
2016-09-26,"NEFT DR-UTBI0UPKD40-WIFFY-NETBANK, MUM-N",100.0,withdrawal,other,Expense (Other)
2016-09-29,NEFTCHGSINCLST&CESS260916,2.88,withdrawal,other,Expense (Other)
2016-09-29,NEFT CHGS INCL ST & CESS 260916,2.88,withdrawal,other,Expense (Other)
2016-10-01,POS532676XXXXXX3201TRIOSERVICESPOSD,200.0,withdrawal,maintenance,Expense (Shopping)
2016-10-01,POS 532676XXXXXX3201 TRIO SERVICES POS D,200.0,withdrawal,maintenance,Expense (Shopping)
2016-10-02,FUELSURCHG532676XXXXXX3201 49003475,11.5,withdrawal,other,Expense (Transportation)
2016-10-02,FUEL SURCHG 532676XXXXXX3201 49003475 Page No .: 9,11.5,withdrawal,other,Expense (Transportation)
2016-10-10,NEFT CHGS INCL ST & CESS 031016,2.88,withdrawal,other,Expense (Other)
2016-10-10,NEFTCHGSINCLST&CESS031016,2.88,withdrawal,other,Expense (Other)
